,T4T,G,AD
Gen 1,0.34,0.33,0.33
Gen 2,0.37,0.35,0.28
Gen 3,0.4,0.37,0.23
Gen 4,0.44,0.38,0.18
Gen 5,0.49,0.38,0.13
Gen 6,0.54,0.38,0.08
Gen 7,0.58,0.38,0.04
Gen 8,0.63,0.35,0.02
Gen 9,0.64,0.35,0.01
Gen 10,0.69,0.31,0
Gen 11,0.69,0.31,0
Gen 12,0.74,0.26,0
Gen 13,0.74,0.26,0
Gen 14,0.79,0.21,0
Gen 15,0.79,0.21,0
Gen 16,0.84,0.16,0
Gen 17,0.84,0.16,0
Gen 18,0.89,0.11,0
Gen 19,0.89,0.11,0
Gen 20,0.94,0.06,0"0.1","0.45","0.45"
"0.05","0.5","0.45"
"0.03","0.52","0.45"
"0.02","0.53","0.45"
"0.01","0.54","0.45"
"0.01","0.54","0.45"
"0.01","0.54","0.45"
"0.01","0.54","0.45"
"0.01","0.54","0.45"
"0.01","0.54","0.45"
"0.01","0.54","0.45"
"0.01","0.54","0.45"
"0.01","0.54","0.45"
"0.01","0.54","0.45"
"0.01","0.54","0.45"
"0.01","0.54","0.45"
"0.01","0.54","0.45"
"0.01","0.54","0.45"
"0.01","0.54","0.45"
"0.01","0.54","0.45"
